sid	yid	gt
dn12a#BKN009	dn12a	BKN009
dn12a#BKN014	dn12a	BKN014
dn12a#BKN015	dn12a	BKN015
dn12a#BKN016	dn12a	BKN016
dn12a#CAUMO17	dn12a	CAUMO17
dn12a#OH43	dn12a	OH43
dn12a#TDD39103	dn12a	TDD39103
dn12a#TIL15	dn12a	TIL15
dn12a#TIL25	dn12a	TIL25
dn12a#W64A	dn12a	W64A
dn14a#B73	dn14a	B73
dn14a#CH10	dn14a	CH10
dn14a#D06	dn14a	D06
dn14a#D09	dn14a	D09
dn14a#D152	dn14a	D152
dn14a#DK105	dn14a	DK105
dn14a#EC169	dn14a	EC169
dn14a#EC49A	dn14a	EC49A
dn14a#EP1	dn14a	EP1
dn14a#EP44	dn14a	EP44
dn14a#EZ5	dn14a	EZ5
dn14a#F03802	dn14a	F03802
dn14a#F252	dn14a	F252
dn14a#F283	dn14a	F283
dn14a#F2	dn14a	F2
dn14a#F353	dn14a	F353
dn14a#F618	dn14a	F618
dn14a#F64	dn14a	F64
dn14a#F7	dn14a	F7
dn14a#F98902	dn14a	F98902
dn14a#FF0721H-7	dn14a	FF0721H-7
dn14a#Lo11	dn14a	Lo11
dn14a#Mo17	dn14a	Mo17
dn14a#PH207	dn14a	PH207
dn14a#Teosinte	dn14a	Teosinte
dn14a#UH006	dn14a	UH006
dn14a#UH007	dn14a	UH007
dn14a#UH009	dn14a	UH009
dn14a#UH250	dn14a	UH250
dn14a#UH304	dn14a	UH304
dn14a#W117	dn14a	W117
dn17a#38-11Goodman-Buckler	dn17a	38-11Goodman-Buckler
dn17a#4226	dn17a	4226
dn17a#4722	dn17a	4722
dn17a#A188	dn17a	A188
dn17a#A214NGoodman-Buckler	dn17a	A214NGoodman-Buckler
dn17a#A239	dn17a	A239
dn17a#A441-5	dn17a	A441-5
dn17a#A619	dn17a	A619
dn17a#A632	dn17a	A632
dn17a#A634	dn17a	A634
dn17a#A635	dn17a	A635
dn17a#A641	dn17a	A641
dn17a#A654	dn17a	A654
dn17a#A659	dn17a	A659
dn17a#A679	dn17a	A679
dn17a#A680	dn17a	A680
dn17a#A682	dn17a	A682
dn17a#B103	dn17a	B103
dn17a#B109	dn17a	B109
dn17a#B14A	dn17a	B14A
dn17a#B37	dn17a	B37
dn17a#B46	dn17a	B46
dn17a#B57	dn17a	B57
dn17a#B64	dn17a	B64
dn17a#B68	dn17a	B68
dn17a#B73Htrhm	dn17a	B73Htrhm
dn17a#B73	dn17a	B73
dn17a#B76	dn17a	B76
dn17a#B79	dn17a	B79
dn17a#B84	dn17a	B84
dn17a#B97	dn17a	B97
dn17a#C103	dn17a	C103
dn17a#C123	dn17a	C123
dn17a#CH9	dn17a	CH9
dn17a#CI187-2	dn17a	CI187-2
dn17a#CI21E	dn17a	CI21E
dn17a#CI3A	dn17a	CI3A
dn17a#CI64	dn17a	CI64
dn17a#CI66	dn17a	CI66
dn17a#Ci7Goodman-Buckler	dn17a	Ci7Goodman-Buckler
dn17a#Ci91BGoodman-Buckler	dn17a	Ci91BGoodman-Buckler
dn17a#CM105	dn17a	CM105
dn17a#CM174	dn17a	CM174
dn17a#CM37	dn17a	CM37
dn17a#CM7	dn17a	CM7
dn17a#CML103	dn17a	CML103
dn17a#CML108	dn17a	CML108
dn17a#CML14	dn17a	CML14
dn17a#CML157Q	dn17a	CML157Q
dn17a#CML158Q	dn17a	CML158Q
dn17a#CML220	dn17a	CML220
dn17a#CML228	dn17a	CML228
dn17a#CML247	dn17a	CML247
dn17a#CML254	dn17a	CML254
dn17a#CML264	dn17a	CML264
dn17a#CML277	dn17a	CML277
dn17a#CML281	dn17a	CML281
dn17a#CML311	dn17a	CML311
dn17a#CML314	dn17a	CML314
dn17a#CML322	dn17a	CML322
dn17a#CML323	dn17a	CML323
dn17a#CML328	dn17a	CML328
dn17a#CML331	dn17a	CML331
dn17a#CML333	dn17a	CML333
dn17a#CML38	dn17a	CML38
dn17a#CML45	dn17a	CML45
dn17a#CML52	dn17a	CML52
dn17a#CML5	dn17a	CML5
dn17a#CML61	dn17a	CML61
dn17a#CML69	dn17a	CML69
dn17a#CML77	dn17a	CML77
dn17a#CML91	dn17a	CML91
dn17a#CML92	dn17a	CML92
dn17a#CO106	dn17a	CO106
dn17a#CO125	dn17a	CO125
dn17a#CO255	dn17a	CO255
dn17a#D940Y	dn17a	D940Y
dn17a#DE1	dn17a	DE1
dn17a#DE-2	dn17a	DE-2
dn17a#DE811	dn17a	DE811
dn17a#F2834T	dn17a	F2834T
dn17a#F44	dn17a	F44
dn17a#F6	dn17a	F6
dn17a#F7	dn17a	F7
dn17a#GA209	dn17a	GA209
dn17a#H105W	dn17a	H105W
dn17a#H49	dn17a	H49
dn17a#H84	dn17a	H84
dn17a#H91	dn17a	H91
dn17a#H95	dn17a	H95
dn17a#H99	dn17a	H99
dn17a#Hi27Goodman-Buckler	dn17a	Hi27Goodman-Buckler
dn17a#HP301	dn17a	HP301
dn17a#I137TN	dn17a	I137TN
dn17a#i1677a	dn17a	i1677a
dn17a#I205	dn17a	I205
dn17a#I29	dn17a	I29
dn17a#Ia5125	dn17a	Ia5125
dn17a#IDS69	dn17a	IDS69
dn17a#IDS91	dn17a	IDS91
dn17a#Il101	dn17a	Il101
dn17a#Il14H	dn17a	Il14H
dn17a#ILLHy	dn17a	ILLHy
dn17a#K4	dn17a	K4
dn17a#Ki11	dn17a	Ki11
dn17a#Ki21	dn17a	Ki21
dn17a#KI3	dn17a	KI3
dn17a#Ki43	dn17a	Ki43
dn17a#Ki44	dn17a	Ki44
dn17a#Ky21	dn17a	Ky21
dn17a#KY228	dn17a	KY228
dn17a#L578	dn17a	L578
dn17a#M14	dn17a	M14
dn17a#M162W	dn17a	M162W
dn17a#M37W	dn17a	M37W
dn17a#MEF156-55-2	dn17a	MEF156-55-2
dn17a#Mo17	dn17a	Mo17
dn17a#Mo18W	dn17a	Mo18W
dn17a#MO1W	dn17a	MO1W
dn17a#Mo24W	dn17a	Mo24W
dn17a#Mo46	dn17a	Mo46
dn17a#Mo47	dn17a	Mo47
dn17a#MoG	dn17a	MoG
dn17a#Mp339	dn17a	Mp339
dn17a#MS1334	dn17a	MS1334
dn17a#Ms71	dn17a	Ms71
dn17a#Mt42	dn17a	Mt42
dn17a#N192	dn17a	N192
dn17a#N6	dn17a	N6
dn17a#NC222	dn17a	NC222
dn17a#NC230	dn17a	NC230
dn17a#NC236	dn17a	NC236
dn17a#NC250	dn17a	NC250
dn17a#NC258	dn17a	NC258
dn17a#NC260	dn17a	NC260
dn17a#NC262	dn17a	NC262
dn17a#NC264	dn17a	NC264
dn17a#NC294	dn17a	NC294
dn17a#NC296A	dn17a	NC296A
dn17a#NC296	dn17a	NC296
dn17a#NC302	dn17a	NC302
dn17a#NC306	dn17a	NC306
dn17a#NC310	dn17a	NC310
dn17a#NC314	dn17a	NC314
dn17a#NC318	dn17a	NC318
dn17a#NC324	dn17a	NC324
dn17a#NC326	dn17a	NC326
dn17a#NC328	dn17a	NC328
dn17a#NC336	dn17a	NC336
dn17a#NC338	dn17a	NC338
dn17a#NC33	dn17a	NC33
dn17a#NC340	dn17a	NC340
dn17a#NC346	dn17a	NC346
dn17a#NC348	dn17a	NC348
dn17a#NC350	dn17a	NC350
dn17a#NC352	dn17a	NC352
dn17a#NC354	dn17a	NC354
dn17a#NC356	dn17a	NC356
dn17a#NC358	dn17a	NC358
dn17a#NC360	dn17a	NC360
dn17a#NC362	dn17a	NC362
dn17a#NC364	dn17a	NC364
dn17a#NC366	dn17a	NC366
dn17a#NC368	dn17a	NC368
dn17a#Oh40B	dn17a	Oh40B
dn17a#Oh43E	dn17a	Oh43E
dn17a#Oh43	dn17a	Oh43
dn17a#Oh603	dn17a	Oh603
dn17a#OH7B	dn17a	OH7B
dn17a#Os420	dn17a	Os420
dn17a#P39Goodman-Buckler	dn17a	P39Goodman-Buckler
dn17a#Pa762	dn17a	Pa762
dn17a#Pa91	dn17a	Pa91
dn17a#R177	dn17a	R177
dn17a#R229	dn17a	R229
dn17a#R4	dn17a	R4
dn17a#SA24	dn17a	SA24
dn17a#SC357	dn17a	SC357
dn17a#SC55	dn17a	SC55
dn17a#SD40	dn17a	SD40
dn17a#Sg1533	dn17a	Sg1533
dn17a#Sg18	dn17a	Sg18
dn17a#T232	dn17a	T232
dn17a#T234	dn17a	T234
dn17a#T8	dn17a	T8
dn17a#Tx303	dn17a	Tx303
dn17a#Tx601	dn17a	Tx601
dn17a#Tzi10	dn17a	Tzi10
dn17a#Tzi11	dn17a	Tzi11
dn17a#Tzi16	dn17a	Tzi16
dn17a#Tzi18	dn17a	Tzi18
dn17a#Tzi25	dn17a	Tzi25
dn17a#Tzi9	dn17a	Tzi9
dn17a#U267Y	dn17a	U267Y
dn17a#VA102	dn17a	VA102
dn17a#Va22	dn17a	Va22
dn17a#Va26	dn17a	Va26
dn17a#Va35	dn17a	Va35
dn17a#Va59	dn17a	Va59
dn17a#Va99	dn17a	Va99
dn17a#VaW6	dn17a	VaW6
dn17a#W182B	dn17a	W182B
dn17a#W22	dn17a	W22
dn17a#W64A	dn17a	W64A
dn17a#WD	dn17a	WD
dn17a#Wf9	dn17a	Wf9
dn17b#ZEAxppRDQDIAAPEI-3	dn17b	ZEAxppRDQDIAAPEI-3
dn17b#ZEAxujRADDIBAPE	dn17b	ZEAxujRADDIBAPE
dn17b#ZEAxppRDLDIAAPEI-2	dn17b	ZEAxppRDLDIAAPEI-2
dn17b#ZEAxujRAGDIBAPE	dn17b	ZEAxujRAGDIBAPE
dn17b#ZEAhwcRAXDIAAPE	dn17b	ZEAhwcRAXDIAAPE
dn17b#MAIdgiRCCDIAAPEI-10	dn17b	MAIdgiRCCDIAAPEI-10
dn17b#MAIdgiRAWDIAAPEI-5	dn17b	MAIdgiRAWDIAAPEI-5
dn17b#MAIdgiRAXDIAAPEI-6	dn17b	MAIdgiRAXDIAAPEI-6
dn17b#MAIdgiRAYDIAAPEI-7	dn17b	MAIdgiRAYDIAAPEI-7
dn17b#ZEAxppRDCDIAAPEI-7	dn17b	ZEAxppRDCDIAAPEI-7
dn17b#ZEAxppRDGDIAAPEI-11	dn17b	ZEAxppRDGDIAAPEI-11
dn17b#ZEAxppRDHDIAAPEI-12	dn17b	ZEAxppRDHDIAAPEI-12
dn17b#ZEAxppRDIDIAAPEI-1	dn17b	ZEAxppRDIDIAAPEI-1
dn17b#ZEAxppRADDIAAPEI-4	dn17b	ZEAxppRADDIAAPEI-4
dn17b#ZEAxujRAZDIAAPE	dn17b	ZEAxujRAZDIAAPE
dn17b#ZEAxujRAYDIAAPE	dn17b	ZEAxujRAYDIAAPE
dn17b#ZEAxujRAXDIAAPE	dn17b	ZEAxujRAXDIAAPE
dn17b#MAIdgiRCIDIAAPEI-7	dn17b	MAIdgiRCIDIAAPEI-7
dn17b#MAIdgiRCKDIAAPEI-9	dn17b	MAIdgiRCKDIAAPEI-9
dn17b#ZEAxppRCWDIAAPEI-3	dn17b	ZEAxppRCWDIAAPEI-3
dn17b#ZEAxppRCXDIAAPEI-4	dn17b	ZEAxppRCXDIAAPEI-4
dn17b#ZEAxppRCUDIAAPEI-1	dn17b	ZEAxppRCUDIAAPEI-1
dn17b#ZEAxppRCVDIAAPEI-2	dn17b	ZEAxppRCVDIAAPEI-2
dn17b#ZEAxppRCYDIAAPEI-5	dn17b	ZEAxppRCYDIAAPEI-5
dn17b#ZEAxujRBCDIBAPE	dn17b	ZEAxujRBCDIBAPE
dn17b#ZEAxujRBADIAAPE	dn17b	ZEAxujRBADIAAPE
dn17b#ZEAxujRBBDIAAPE	dn17b	ZEAxujRBBDIAAPE
dn17b#MAIdgiRAPDIAAPEI-12	dn17b	MAIdgiRAPDIAAPEI-12
dn17b#MAIdgiRAODIAAPEI-11	dn17b	MAIdgiRAODIAAPEI-11
dn17b#MAIdgiRAMDIAAPEI-10	dn17b	MAIdgiRAMDIAAPEI-10
dn17b#MAIdgiRAKDIAAPEI-9	dn17b	MAIdgiRAKDIAAPEI-9
dn17b#MAIdgiRABDIAAPEI-2	dn17b	MAIdgiRABDIAAPEI-2
dn17b#ZEAxujRAWDIAAPE	dn17b	ZEAxujRAWDIAAPE
dn17b#MAIdgiRACDIAAPEI-3	dn17b	MAIdgiRACDIAAPEI-3
dn17b#MAIdgiRAEDIAAPEI-4	dn17b	MAIdgiRAEDIAAPEI-4
dn17b#ZEAxujRAVDIAAPE	dn17b	ZEAxujRAVDIAAPE
dn17b#MAIdgiRAADIAAPEI-1	dn17b	MAIdgiRAADIAAPEI-1
dn17b#ZEAxppRCODIAAPEI-9	dn17b	ZEAxppRCODIAAPEI-9
dn17b#ZEAxppRCJDIAAPEI-7	dn17b	ZEAxppRCJDIAAPEI-7
dn17b#ZEAxppRCQDIAAPEI-11	dn17b	ZEAxppRCQDIAAPEI-11
dn17b#ZEAxppRCPDIAAPEI-10	dn17b	ZEAxppRCPDIAAPEI-10
dn17b#ZEAxujRAUDIAAPE	dn17b	ZEAxujRAUDIAAPE
dn17b#ZEAxujRATDIAAPE	dn17b	ZEAxujRATDIAAPE
dn17b#ZEAxujRASDIAAPE	dn17b	ZEAxujRASDIAAPE
dn17b#ZEAxujRARDIAAPE	dn17b	ZEAxujRARDIAAPE
dn17b#MAIdgiRAVDIAAPEI-4	dn17b	MAIdgiRAVDIAAPEI-4
dn17b#MAIdgiRARDIAAPEI-1	dn17b	MAIdgiRARDIAAPEI-1
dn17b#MAIdgiRASDIAAPEI-2	dn17b	MAIdgiRASDIAAPEI-2
dn17b#ZEAxppRCHDIAAPEI-6	dn17b	ZEAxppRCHDIAAPEI-6
dn17b#ZEAxppRCGDIAAPEI-5	dn17b	ZEAxppRCGDIAAPEI-5
dn17b#ZEAxppRCFDIAAPEI-4	dn17b	ZEAxppRCFDIAAPEI-4
dn17b#ZEAxppRCDDIAAPEI-12	dn17b	ZEAxppRCDDIAAPEI-12
dn17b#ZEAxppRCBDIAAPEI-3	dn17b	ZEAxppRCBDIAAPEI-3
dn17b#ZEAxppRBHDIAAPEI-1	dn17b	ZEAxppRBHDIAAPEI-1
dn17b#ZEAxppRBFDIAAPEI-3	dn17b	ZEAxppRBFDIAAPEI-3
dn17b#ZEAxppRBCDIAAPEI-2	dn17b	ZEAxppRBCDIAAPEI-2
dn17b#ZEAxppRAZDIAAPEI-7	dn17b	ZEAxppRAZDIAAPEI-7
dn17b#ZEAxujRAQDIAAPE	dn17b	ZEAxujRAQDIAAPE
dn17b#ZEAxujRAPDIAAPE	dn17b	ZEAxujRAPDIAAPE
dn17b#ZEAxppRBYDIAAPEI-2	dn17b	ZEAxppRBYDIAAPEI-2
dn17b#ZEAxppRBXDIAAPEI-1	dn17b	ZEAxppRBXDIAAPEI-1
dn17b#ZEAxppRBSDIAAPEI-4	dn17b	ZEAxppRBSDIAAPEI-4
dn17b#ZEAxppRBUDIAAPEI-5	dn17b	ZEAxppRBUDIAAPEI-5
dn17b#ZEAxppRBRDIAAPEI-3	dn17b	ZEAxppRBRDIAAPEI-3
dn17b#ZEAxppRBMDIAAPEI-6	dn17b	ZEAxppRBMDIAAPEI-6
dn17b#ZEAxppRBLDIAAPEI-2	dn17b	ZEAxppRBLDIAAPEI-2
dn17b#ZEAxujRAODIBAPE	dn17b	ZEAxujRAODIBAPE
dn17b#ZEAxujRANDIBAPE	dn17b	ZEAxujRANDIBAPE
dn17b#ZEAxujRAMDIBAPE	dn17b	ZEAxujRAMDIBAPE
dn17b#MAIdgiRAIDIAAPEI-6	dn17b	MAIdgiRAIDIAAPEI-6
dn17b#MAIdgiRAGDIAAPEI-5	dn17b	MAIdgiRAGDIAAPEI-5
dn17b#ZEAxujRAKDIBAPE	dn17b	ZEAxujRAKDIBAPE
dn17b#ZEAxujRALDIBAPE	dn17b	ZEAxujRALDIBAPE
dn17b#ZEAxppRAFDIAAPEI-5	dn17b	ZEAxppRAFDIAAPEI-5
dn17b#ZEAxppRAJDIAAPEI-7	dn17b	ZEAxppRAJDIAAPEI-7
dn17b#ZEAxppRAHDIAAPEI-6	dn17b	ZEAxppRAHDIAAPEI-6
dn17b#ZEAxppRALDIAAPEI-9	dn17b	ZEAxppRALDIAAPEI-9
dn17b#ZEAxujRAJDIBAPE	dn17b	ZEAxujRAJDIBAPE
dn17b#ZEAxujRAHDIBAPE	dn17b	ZEAxujRAHDIBAPE
dn17b#ZEAxujRBDDIBAPE	dn17b	ZEAxujRBDDIBAPE
dn17b#ZEAxujRBFDIBAPE	dn17b	ZEAxujRBFDIBAPE
dn17b#ZEAxppRAUDIAAPEI-1	dn17b	ZEAxppRAUDIAAPEI-1
dn17b#ZEAxppRAQDIAAPEI-11	dn17b	ZEAxppRAQDIAAPEI-11
dn17b#ZEAxppRATDIAAPEI-12	dn17b	ZEAxppRATDIAAPEI-12
dn17b#ZEAxppRANDIAAPEI-10	dn17b	ZEAxppRANDIAAPEI-10
dn17b#CML247	dn17b	CML247
dn17b#NC358	dn17b	NC358
dn17b#MO18W	dn17b	MO18W
dn17b#Oh40B	dn17b	Oh40B
dn17b#P39	dn17b	P39
dn17b#CML322	dn17b	CML322
dn17b#KI3	dn17b	KI3
dn17b#CML52	dn17b	CML52
dn17b#Il14H	dn17b	Il14H
dn17b#A272	dn17b	A272
dn17b#CML103	dn17b	CML103
dn17b#CML228	dn17b	CML228
dn17b#CML333	dn17b	CML333
dn17b#HP301	dn17b	HP301
dn17b#CML69	dn17b	CML69
dn17b#Oh7B	dn17b	Oh7B
dn17b#Oh43	dn17b	Oh43
dn17b#M37W	dn17b	M37W
dn17b#M162W	dn17b	M162W
dn17b#CML277	dn17b	CML277
dn17b#Ms71	dn17b	Ms71
dn17b#Mo17	dn17b	Mo17
dn17b#Tx303	dn17b	Tx303
dn17b#TIL15	dn17b	TIL15
dn17b#TIL25-TIP489	dn17b	TIL25-TIP489
dn17b#MM-1A	dn17b	MM-1A
dn17b#W22	dn17b	W22
dn17b#Tzi8	dn17b	Tzi8
dn17b#Ky21	dn17b	Ky21
dn17b#Tx601	dn17b	Tx601
dn17b#L578	dn17b	L578
dn17b#NC350	dn17b	NC350
dn17b#Ki11	dn17b	Ki11
dn17b#Ki21	dn17b	Ki21
dn17b#N6	dn17b	N6
dn17b#TIL14-TIP498	dn17b	TIL14-TIP498
dn17b#TIL09	dn17b	TIL09
dn17b#TIL10	dn17b	TIL10
dn17b#TIL03	dn17b	TIL03
dn17b#TIL05	dn17b	TIL05
dn17b#RIMMA0438-1	dn17b	RIMMA0438-1
dn17b#TIL01-JD	dn17b	TIL01-JD
dn17b#TIL11	dn17b	TIL11
dn17b#dan340	dn17b	dan340
dn18a#3IIH6	dn18a	3IIH6
dn18a#A188	dn18a	A188
dn18a#AS5707	dn18a	AS5707
dn18a#B84	dn18a	B84
dn18a#CR1Ht	dn18a	CR1Ht
dn18a#DKHBA1	dn18a	DKHBA1
dn18a#FBLL	dn18a	FBLL
dn18a#LH123Ht	dn18a	LH123Ht
dn18a#LH145	dn18a	LH145
dn18a#LH146Ht	dn18a	LH146Ht
dn18a#LH156	dn18a	LH156
dn18a#LH168	dn18a	LH168
dn18a#LH185	dn18a	LH185
dn18a#LH198	dn18a	LH198
dn18a#LH200	dn18a	LH200
dn18a#LH59	dn18a	LH59
dn18a#LH74	dn18a	LH74
dn18a#LH82	dn18a	LH82
dn18a#LH85	dn18a	LH85
dn18a#LH93	dn18a	LH93
dn18a#Mo17	dn18a	Mo17
dn18a#Mo44	dn18a	Mo44
dn18a#Mo45	dn18a	Mo45
dn18a#MoG	dn18a	MoG
dn18a#NC230	dn18a	NC230
dn18a#NKH8431	dn18a	NKH8431
dn18a#NP899	dn18a	NP899
dn18a#Oh43	dn18a	Oh43
dn18a#PH207	dn18a	PH207
dn18a#PHAA0	dn18a	PHAA0
dn18a#PHB47	dn18a	PHB47
dn18a#PHG29	dn18a	PHG29
dn18a#PHG35	dn18a	PHG35
dn18a#PHG39	dn18a	PHG39
dn18a#PHG47	dn18a	PHG47
dn18a#PHG50	dn18a	PHG50
dn18a#PHG72	dn18a	PHG72
dn18a#PHG83	dn18a	PHG83
dn18a#PHJ40	dn18a	PHJ40
dn18a#PHJ89	dn18a	PHJ89
dn18a#PHK46	dn18a	PHK46
dn18a#PHK56	dn18a	PHK56
dn18a#PHK76	dn18a	PHK76
dn18a#PHKM5	dn18a	PHKM5
dn18a#PHMK0	dn18a	PHMK0
dn18a#PHN11	dn18a	PHN11
dn18a#PHN46	dn18a	PHN46
dn18a#PHP02	dn18a	PHP02
dn18a#PHP38	dn18a	PHP38
dn18a#PHR03	dn18a	PHR03
dn18a#PHT11	dn18a	PHT11
dn18a#PHV78	dn18a	PHV78
dn18a#PHW52	dn18a	PHW52
dn18a#PHW65	dn18a	PHW65
dn18a#SCRO1	dn18a	SCRO1
dn18a#W182Ngt	dn18a	W182Ngt
dn18a#W37A	dn18a	W37A
dn18a#W604S	dn18a	W604S
dn18a#W605S	dn18a	W605S
dn18a#W606S	dn18a	W606S
